target,discovered,wrong letters,number of hits,lives remaining,game won
allegedly,"['a', 'l', 'l', 'e', '_', 'e', 'd', 'l', 'y']","['s', 'i', 'r', 'n', 't', 'c', 'b', 'p', 'u', 'k']",8,0,False
trendies,"['t', 'r', 'e', 'n', 'd', 'i', 'e', 's']","['a', 'o', 'l']",8,7,True
feathers,"['_', 'e', 'a', 't', 'h', 'e', 'r', 's']","['i', 'o', 'l', 'd', 'n', 'c', 'u', 'p', 'g', 'm']",7,0,False
indecision,"['i', 'n', 'd', 'e', 'c', 'i', 's', 'i', 'o', 'n']","['a', 'r', 't', 'l']",10,6,True
shackling,"['s', 'h', 'a', 'c', '_', 'l', 'i', 'n', 'g']","['e', 'o', 't', 'r', 'u', 'm', 'p', 'b', 'y', 'f']",8,0,False
oddities,"['o', 'd', 'd', 'i', 't', 'i', 'e', 's']","['a', 'r', 'n', 'l']",8,6,True
regionalisms,"['r', 'e', 'g', 'i', 'o', 'n', 'a', 'l', 'i', 's', 'm', 's']","['t', 'c', 'd', 'p', 'u']",12,5,True
nineties,"['n', 'i', 'n', 'e', 't', 'i', 'e', 's']","['a', 'r', 'o']",8,7,True
spadefuls,"['s', 'p', 'a', 'd', 'e', '_', 'u', 'l', 's']","['i', 'r', 'o', 't', 'n', 'b', 'c', 'y', 'g', 'h']",8,0,False
upshots,"['u', 'p', 's', 'h', 'o', 't', 's']","['e', 'i', 'a', 'r', 'l', 'n', 'c']",7,3,True
perked,"['p', 'e', 'r', '_', 'e', 'd']","['s', 'a', 'i', 'o', 'u', 't', 'l', 'n', 'y', 'w']",5,0,False
hatched,"['h', 'a', 't', 'c', 'h', 'e', 'd']","['s', 'i', 'r', 'l', 'n', 'o']",7,4,True
unrecorded,"['u', 'n', 'r', 'e', 'c', 'o', 'r', 'd', 'e', 'd']","['s', 'i', 'a', 't']",10,6,True
chugging,"['c', 'h', 'u', 'g', 'g', 'i', 'n', 'g']","['e', 'a', 'o', 's', 'l', 't', 'r']",8,3,True
tasked,"['t', 'a', 's', '_', 'e', 'd']","['i', 'r', 'l', 'o', 'n', 'u', 'h', 'p', 'b', 'm']",5,0,False
plaints,"['p', 'l', 'a', 'i', 'n', 't', 's']","['e', 'o', 'g', 'u', 'r', 'c', 'y', 'm']",7,2,True
sank,"['s', 'a', 'n', '_']","['e', 'o', 'i', 'u', 'r', 'l', 't', 'y', 'p', 'h']",3,0,False
funk,"['f', 'u', 'n', 'k']","['e', 's', 'o', 'a', 'i', 'l', 'r', 't']",4,2,True
abstruseness,"['a', 'b', 's', 't', 'r', 'u', 's', 'e', 'n', 'e', 's', 's']","['i', 'o', 'l', 'c', 'd', 'm', 'p', 'f']",12,2,True
stealthier,"['s', 't', 'e', 'a', 'l', 't', 'h', 'i', 'e', 'r']","['n', 'o', 'c', 'd', 'p', 'u']",10,4,True
bonitos,"['b', 'o', 'n', 'i', 't', 'o', 's']","['e', 'a', 'g', 'u', 'l', 'c', 'r', 'p', 'm']",7,1,True
