target,discovered,wrong letters,number of hits,lives remaining,game won
glottides,"['g', 'l', 'o', '_', '_', 'i', 'd', 'e', '_']","['a', 'b', 'c', 'f', 'h', 'j', 'k', 'm', 'n', 'p']",6,0,False
centralises,"['c', 'e', 'n', '_', '_', 'a', 'l', 'i', '_', 'e', '_']","['b', 'd', 'f', 'g', 'h', 'j', 'k', 'm', 'o', 'p']",7,0,False
astronomer,"['a', '_', '_', '_', '_', '_', '_', '_', 'e', '_']","['b', 'c', 'd', 'f', 'g', 'h', 'i', 'j', 'k', 'l']",2,0,False
suppurated,"['_', '_', '_', '_', '_', '_', 'a', '_', 'e', 'd']","['b', 'c', 'f', 'g', 'h', 'i', 'j', 'k', 'l', 'm']",3,0,False
accidentals,"['a', 'c', 'c', 'i', 'd', 'e', 'n', '_', 'a', 'l', '_']","['b', 'f', 'g', 'h', 'j', 'k', 'm', 'o', 'p', 'q']",9,0,False
rents,"['_', 'e', '_', '_', '_']","['a', 'b', 'c', 'd', 'f', 'g', 'h', 'i', 'j', 'k']",1,0,False
plasterboard,"['p', 'l', 'a', '_', '_', 'e', '_', 'b', 'o', 'a', '_', 'd']","['c', 'f', 'g', 'h', 'i', 'j', 'k', 'm', 'n', 'q']",8,0,False
obstetrics,"['_', 'b', '_', '_', 'e', '_', '_', 'i', 'c', '_']","['a', 'd', 'f', 'g', 'h', 'j', 'k', 'l', 'm', 'n']",4,0,False
dissented,"['d', 'i', '_', '_', 'e', '_', '_', 'e', 'd']","['a', 'b', 'c', 'f', 'g', 'h', 'j', 'k', 'l', 'm']",5,0,False
eavesdrops,"['e', 'a', '_', 'e', '_', 'd', '_', '_', '_', '_']","['b', 'c', 'f', 'g', 'h', 'i', 'j', 'k', 'l', 'm']",4,0,False
harks,"['h', 'a', '_', 'k', '_']","['b', 'c', 'd', 'e', 'f', 'g', 'i', 'j', 'l', 'm']",3,0,False
shootings,"['_', 'h', '_', '_', '_', 'i', '_', 'g', '_']","['a', 'b', 'c', 'd', 'e', 'f', 'j', 'k', 'l', 'm']",3,0,False
nibblers,"['n', 'i', 'b', 'b', 'l', 'e', '_', '_']","['a', 'c', 'd', 'f', 'g', 'h', 'j', 'k', 'm', 'o']",6,0,False
beams,"['b', 'e', 'a', 'm', '_']","['c', 'd', 'f', 'g', 'h', 'i', 'j', 'k', 'l', 'n']",4,0,False
toffy,"['_', '_', 'f', 'f', '_']","['a', 'b', 'c', 'd', 'e', 'g', 'h', 'i', 'j', 'k']",2,0,False
flipping,"['f', 'l', 'i', '_', '_', 'i', 'n', 'g']","['a', 'b', 'c', 'd', 'e', 'h', 'j', 'k', 'm', 'o']",6,0,False
railroads,"['_', 'a', 'i', 'l', '_', '_', 'a', 'd', '_']","['b', 'c', 'e', 'f', 'g', 'h', 'j', 'k', 'm', 'n']",5,0,False
unscrambled,"['_', 'n', 's', 'c', 'r', 'a', 'm', 'b', 'l', 'e', 'd']","['f', 'g', 'h', 'i', 'j', 'k', 'o', 'p', 'q', 't']",10,0,False
unpolluted,"['_', '_', '_', '_', 'l', 'l', '_', '_', 'e', 'd']","['a', 'b', 'c', 'f', 'g', 'h', 'i', 'j', 'k', 'm']",4,0,False
obsidian,"['o', 'b', '_', 'i', 'd', 'i', 'a', 'n']","['c', 'e', 'f', 'g', 'h', 'j', 'k', 'l', 'm', 'p']",7,0,False
noising,"['_', '_', 'i', '_', 'i', '_', 'g']","['a', 'b', 'c', 'd', 'e', 'f', 'h', 'j', 'k', 'l']",3,0,False
flyleaf,"['f', 'l', '_', 'l', 'e', 'a', 'f']","['b', 'c', 'd', 'g', 'h', 'i', 'j', 'k', 'm', 'n']",6,0,False
juleps,"['j', '_', 'l', 'e', '_', '_']","['a', 'b', 'c', 'd', 'f', 'g', 'h', 'i', 'k', 'm']",3,0,False
beeped,"['b', 'e', 'e', '_', 'e', 'd']","['a', 'c', 'f', 'g', 'h', 'i', 'j', 'k', 'l', 'm']",5,0,False
aeronautical,"['a', 'e', '_', 'o', 'n', 'a', '_', '_', 'i', 'c', 'a', 'l']","['b', 'd', 'f', 'g', 'h', 'j', 'k', 'm', 'p', 'q']",9,0,False
haltingly,"['h', 'a', 'l', '_', 'i', 'n', 'g', 'l', '_']","['b', 'c', 'd', 'e', 'f', 'j', 'k', 'm', 'o', 'p']",7,0,False
steeply,"['_', '_', 'e', 'e', '_', '_', '_']","['a', 'b', 'c', 'd', 'f', 'g', 'h', 'i', 'j', 'k']",2,0,False
rhetorically,"['_', 'h', 'e', '_', 'o', '_', 'i', 'c', 'a', 'l', 'l', '_']","['b', 'd', 'f', 'g', 'j', 'k', 'm', 'n', 'p', 'q']",8,0,False
commending,"['c', 'o', 'm', 'm', 'e', 'n', 'd', 'i', 'n', 'g']","['a', 'b', 'f', 'h', 'j', 'k', 'l']",10,3,True
guff,"['g', '_', 'f', 'f']","['a', 'b', 'c', 'd', 'e', 'h', 'i', 'j', 'k', 'l']",3,0,False
intractable,"['i', 'n', '_', '_', 'a', 'c', '_', 'a', 'b', 'l', 'e']","['d', 'f', 'g', 'h', 'j', 'k', 'm', 'o', 'p', 'q']",8,0,False
refinements,"['_', 'e', 'f', 'i', 'n', 'e', 'm', 'e', 'n', '_', '_']","['a', 'b', 'c', 'd', 'g', 'h', 'j', 'k', 'l', 'o']",8,0,False
manoeuvring,"['m', 'a', 'n', 'o', 'e', '_', '_', '_', 'i', 'n', 'g']","['b', 'c', 'd', 'f', 'h', 'j', 'k', 'l', 'p', 'q']",8,0,False
addle,"['a', 'd', 'd', 'l', 'e']","['b', 'c', 'f', 'g', 'h', 'i', 'j', 'k']",5,2,True
inconsistency,"['i', '_', 'c', '_', '_', '_', 'i', '_', '_', 'e', '_', 'c', '_']","['a', 'b', 'd', 'f', 'g', 'h', 'j', 'k', 'l', 'm']",5,0,False
bellying,"['b', 'e', 'l', 'l', '_', 'i', 'n', 'g']","['a', 'c', 'd', 'f', 'h', 'j', 'k', 'm', 'o', 'p']",7,0,False
drooped,"['d', '_', '_', '_', '_', 'e', 'd']","['a', 'b', 'c', 'f', 'g', 'h', 'i', 'j', 'k', 'l']",3,0,False
sashays,"['_', 'a', '_', 'h', 'a', '_', '_']","['b', 'c', 'd', 'e', 'f', 'g', 'i', 'j', 'k', 'l']",3,0,False
dismembers,"['d', 'i', '_', 'm', 'e', 'm', 'b', 'e', '_', '_']","['a', 'c', 'f', 'g', 'h', 'j', 'k', 'l', 'n', 'o']",7,0,False
borderland,"['b', 'o', '_', 'd', 'e', '_', 'l', 'a', 'n', 'd']","['c', 'f', 'g', 'h', 'i', 'j', 'k', 'm', 'p', 'q']",8,0,False
